"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts"
"290","MotorUp","","point","3396.257399323452,-2233.753631440146,8120.290089285722","nest_bird","19_2"
"291","MotorUp","","point","3392.565905208476,-2231.325697566109,9020.020000000004","nest_bird","19_3"
"292","MotorUp","","point","3373.281761544608,-2218.642316751995,13720.15504464284","nest_bird","19_4"
"293","MotorUp","","point","2910.968883852105,-2442.592916808861,9020.020000000004","nest_bird","20_1"
"294","MotorUp","","point","3113.970153261246,-2612.931207098547,8120.290089285722","nest_bird","20_2"
"295","MotorUp","","point","3110.585485627614,-2610.091133735509,9020.020000000004","nest_bird","20_3"
"296","MotorUp","","point","3092.904185084124,-2595.254760970735,13720.15504464284","nest_bird","20_4"
"297","MotorUp","","point","2607.718223901174,-2764.019837977595,9020.020000000004","nest_bird","21_1"
"298","MotorUp","","point","2789.571802841801,-2956.773370622323,8120.290089285722","nest_bird","21_2"
"299","MotorUp","","point","2786.539733512914,-2953.559564890418,9020.020000000004","nest_bird","21_3"
"300","MotorUp","","point","2770.700385347667,-2936.770836665068,13720.15504464284","nest_bird","21_4"
"301","MotorUp","","point","2269.202648470573,-3048.068132469175,9020.020000000004","nest_bird","22_1"
"302","MotorUp","","point","2427.449279254397,-3260.630246605502,8120.290089285722","nest_bird","22_2"
"303","MotorUp","","point","2424.810811766462,-3257.086169714023,9020.020000000004","nest_bird","22_3"
"304","MotorUp","","point","2411.027615991247,-3238.572124776553,13720.15504464284","nest_bird","22_4"
"305","MotorUp","","point","1899.999999999985,-3290.896534380873,9020.020000000004","nest_bird","23_1"
"306","MotorUp","","point","2032.499668415199,-3520.392692061987,8120.290089285722","nest_bird","23_2"
"307","MotorUp","","point","2030.290483514744,-3516.566271571085,9020.020000000004","nest_bird","23_3"
"308","MotorUp","","point","2018.74983420757,-3496.577280618729,13720.15504464284","nest_bird","23_4"
"309","MotorUp","","point","1505.10311094878,-3489.221206145046,9020.020000000004","nest_bird","24_1"
"310","MotorUp","","point","1610.063986281116,-3732.547865535271,8120.290089285722","nest_bird","24_2"
"311","MotorUp","","point","1608.313959404096,-3728.490847217921,9020.020000000004","nest_bird","24_3"
